web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622320679-5591","https://www.bi.go.id/bisaid","Rumput Laut SMP 6","https://www.bi.go.id/bisaid/bisaid/Detail?pm=8JunWSa5PehImIq/4Bb3mQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Rumput Laut SMP 6","Usaha Utama  : Rumput Laut","Produk Utama : Es Rumput Laut","Laksamana Bintan Sei Panas RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA B A T A M Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %","Tinggi","Rp. 0,00 Juta","Rp. 0,00 Juta","0 %/Tahun","Rp. 10,00 Juta","Rp. 40,00 Juta","6"
"1622320671-5589","https://www.bi.go.id/bisaid","Warung Babi Guling Pakerisan","https://www.bi.go.id/bisaid/bisaid/Detail?pm=T+prfWeLsdGTdhyC/3NgxA==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Warung Babi Guling Pakerisan","Usaha Utama  : Rumah Makan","Produk Utama : Nasi Babi Guling","Tukad Pakerisan No. 80 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA DENPASAR Provinsi BALI 

                                        Telp : - Fax : -","Perorangan","10","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 515,00 Juta","Rp. 525,00 Juta","5 %/Tahun","Rp. 5,00 Juta","Rp. 7,00 Juta","3"
"1622320071-5426","https://www.bi.go.id/bisaid","Warung Marten","https://www.bi.go.id/bisaid/bisaid/Detail?pm=fkvsFAtqpw8Cmqb9sGKLUQ==&mp=tFF9KAXBbci/UefzhiAg3g==","Warung Marten","Usaha Utama  : Manufaktur","Produk Utama : Nasi Ikan Dan Ayam","Nangka RT/RW  8/2/2020 

                                        Kelurahan - Kecamatan AIMAS Kabupaten KABUPATEN SORONG Provinsi PAPUA BARAT 

                                        Telp : - Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 177,50 Juta","Rp. 364,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 500,00 Juta","4"
"1622320137-5447","https://www.bi.go.id/bisaid","Warung Ria","https://www.bi.go.id/bisaid/bisaid/Detail?pm=3+0lXiH4QtfgwPIsAFRoiQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Warung Ria","Usaha Utama  : Menjual Minuman Dan Snack","Produk Utama : Minuman Dan Snack","Tembesi RT/RW  1/1/2020 

                                        Kelurahan TEMBESI Kecamatan SAGULUNG Kabupaten KOTA B A T A M Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 70,00 Juta","Rp. 216,00 Juta","- %/Tahun","Rp. 9,50 Juta","Rp. 66,00 Juta","7"
"1622320078-5428","https://www.bi.go.id/bisaid","Pempek Bakar Sidat","https://www.bi.go.id/bisaid/bisaid/Detail?pm=TgrD+LUP2KSb0R10oMQz3A==&mp=xI6rAeQkygTAn3Z625IGLg==","Pempek Bakar Sidat","Usaha Utama  : Warung Pempek Bakar","Produk Utama : Pempek Bakar","Jl. Bahagia Lrg Kendari RT/RW  01/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN TANJUNG JABUNG BARAT Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 13,50 Juta","Rp. 12,00 Juta","- %/Tahun","Rp. 9,00 Juta","Rp. 22,00 Juta","3"
"1622320602-5568","https://www.bi.go.id/bisaid","Sate Madura","https://www.bi.go.id/bisaid/bisaid/Detail?pm=vD1dgzYWODNP5Sip6PXTIg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Sate Madura","Usaha Utama  : Dagang Sate Madura","Produk Utama : Sate Kambing, Sate Ayam, Sop Kambing","Achmad Yani RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 64,65 Juta","Rp. 19,95 Juta","25 %/Tahun","Rp. 2,50 Juta","Rp. 16,00 Juta","5"
"1622320327-5510","https://www.bi.go.id/bisaid","Ojolaly Bakso & Mie Ayam Ceker M 3","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Ab8IWkIw5JvzFCIOzAqvJQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Ojolaly Bakso & Mie Ayam Ceker M 3","Usaha Utama  : Dagang mie dan bakso","Produk Utama : Bakso & Mie Ayam","Pondok Kelapa Raya Kav PTB DKI Blok G 9/29 RT/RW  40554 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 35,00 Juta","Rp. 25,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 0,00 Juta","5"
"1622320511-5540","https://www.bi.go.id/bisaid","Romlah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=yl8MUmHUAnPiAM8mO81PXg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Romlah","Usaha Utama  : Rumah Makan","Produk Utama : Pecel Dan Rujak","A. Yani km 7 komp Pasar Ahad Kertak Hanyar RT/RW  14/04 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANJAR Provinsi KALIMANTAN SELATAN 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 19,20 Juta","Rp. 0,00 Juta","5 %/Tahun","Rp. 1,40 Juta","Rp. 0,00 Juta","2"
"1622320508-5539","https://www.bi.go.id/bisaid","Rahimah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=B3i/3qxNOMZ6lTJSf1Rh8w==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Rahimah","Usaha Utama  : Rumah Makan","Produk Utama : Masakan","A. Yani km 7 Komp Pasar Ahad Kertak Hanyar RT/RW  14/04 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANJAR Provinsi KALIMANTAN SELATAN 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 1,55 Juta","Rp. 0,00 Juta","5 %/Tahun","Rp. 1,20 Juta","Rp. 10,00 Juta","2"
"1622320189-5464","https://www.bi.go.id/bisaid","Lontong Tuyuhan","https://www.bi.go.id/bisaid/bisaid/Detail?pm=gFPCzeDk7X0rdv7xnj4/ew==&mp=fOhzApotY5QnAtxxXvjAfA==","Lontong Tuyuhan","Usaha Utama  : Warung Makan","Produk Utama : Lontong Tuyuhan","Tuyuhan Jape RT/RW  2/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN REMBANG Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 253,00 Juta","Rp. 537,00 Juta","20 %/Tahun","Rp. 5,00 Juta","Rp. 240,00 Juta","5"
